Category,Sub-Category,Question,Answer
Academic,Attendance,Why is my attendance not recorded?,"Attendance is recorded only when you watch the session on the NS portal itself and at least 70% video is watched. Watching downloaded videos or exceeding a playback speed of 2x will not count in your attendance. Also make sure you watch the full recording."
Academic,Attendance,Will watching recorded videos count toward attendance?,"Yes, there are three types of attendance: Recorded Attendance, Live Attendance, and Overall Attendance. The eligibility criteria are set for overall attendance, attending live or watching recorded both count for attendance."
Academic,Attendance,Where can I see my attendance project score assignment completion and contest score?,"You can check your attendance details under the My Timeline section for all modules. You can utilise the option to watch lectures on the right side to increase your attendance."
Academic,Assignments,Why is my assignment not visible?,Assignments are linked to the respective modules. Ensure you are in the correct section of your timeline.
Academic,Projects,Why is my project not visible?,"Go to the My Timeline section and select the relevant Learning Unit (LU) with the correct module name and put the filter for assignments."
Academic,Projects,For project review or evaluation.,"Reach out to your PI who will push the project for evaluation. The turnaround time (TAT) is 2-3 days."
Academic,Contests,Why is my contest not visible?,"The contest is accessible only once within its timeline. If the contest is not visible, it has most likely expired for you."
Escalations,"Course cancellations, Finance-related queries, EMI issues",Whom to reach for course cancellations finance-related queries and EMI issues?,"For cancellation requests or any finance related issues, please write to your progression in charge. If your course duration is over then you can reach out to our support email ID."
Escalations,Referral bonuses related queries,Who to contact for referral bonus queries?,Success Manager
Escalations,"Rescheduling or Postponing interviews, Certificate Requests",Which team to connect for rescheduling interviews or certificate requests?,Placement Mentor or placements.ds@newtonschool.co
Escalations,Concession Requests,Concession Requests,"Policies are fixed and no concessions can be granted. Please go through policies in the course info section of your portal."
Support,Technical Support Issues,Facing technical issue,"If the issue persists after hard refreshing and clearing cookies and cache, advise students to raise it to their progression incharge. Requests should include screenshots or videos of the issue and a short description of the problem."
General,Point of Contact,Who will be my point of contact?,The support team is your primary point of contact for all queries once the course is done. Please feel free to reach out to support@newtonschool.co in case of any queries.
General,Point of Contact,Can I get an extension of PI support?,"PI support cannot be extended. However, in special cases, NS may grant an extension of up to 1 month depending upon the situation."
